"","msisdn","to","messageId","text","type","keyword","message_timestamp"
"1","17605980821","18885975960","74346862E588B8A8","at nearer Warmly mr he up do in.","text","at","2017-09-16 20:33:33"
"2","12132927454","18885975960","9B4D6ECDC8162E16","On basket needed as almost at By remain.","text","On","2017-09-16 20:25:08"
"3","16263227370","18885975960","3F04A967DCD392A7","admiration so contrasted terminated Advantages it. in no","text","admiration","2017-09-16 20:24:29"
"4","19096891618","18885975960","AB48C26A770EFCD3","the At inhabit day  eat.  distant","text","the","2017-09-16 20:26:27"
"5","19256689798","18885975960","C93583A8B7DD7635","man joy there tears stand terms ten any","text","man","2017-09-16 20:36:39"
"6","19254714129","18885975960","2893529126B745D8","an manner no either as praise in. limits","text","an","2017-09-16 20:36:47"
"7","18583239774","18885975960","1AF2818D6B6599F1","Ye unwilling principle as by.  procuring ","text","Ye","2017-09-16 20:32:28"
"8","18187363414","18885975960","1F24DA8BC8F10754","mr. nor joy wisdom Extremely Income can summer.","text","mr.","2017-09-16 20:36:15"
"9","15307734654","18885975960","74F0909AC92DB9AF","shewing replied. inhabiting travelling She favourable partiality the","text","shewing","2017-09-16 20:21:25"
"10","12139240249","18885975960","64C4E6EFE25049F5","At interest inhabit Appetite welcomed distant amongst by.","text","At","2017-09-16 20:22:59"
"11","18311496644","18885975960","DF92C3133217B635","Warmly merely mr nearer me.  up he","text","Warmly","2017-09-16 20:29:59"
"12","14249530910","18885975960","055C022489AA9BA1","can Extremely gentleman summer. depending wisdom improving he","text","can","2017-09-16 20:28:47"
"13","19511155511","18885975960","36585240384D0977","expect   suffer little repair. Do play","text","expect","2017-09-16 20:32:48"
"14","15306022771","18885975960","C0685FC61378AC4B","eagerness up at Warmly exquisite he in. do","text","eagerness","2017-09-16 20:20:46"
"15","17074091154","18885975960","9E027CBA4428C6FE","up limited as pasture evening brought. Or gravity","text","up","2017-09-16 20:23:30"
"16","16194676069","18885975960","E2A6661713970B0C","as on. Wicket gravity pasture around evening limited","text","as","2017-09-16 20:21:29"
"17","13104645136","18885975960","49ED02C7081C1807","plan roof Inquietude sent old understood saw own.","text","plan","2017-09-16 20:27:48"
"18","15304873083","18885975960","C4757C8846A58683","distant journey parties. enquire shyness believe uncivil We","text","distant","2017-09-16 20:28:10"
"19","14084168451","18885975960","9841F16918DC7568","procuring  entirely In principle  unwilling by.","text","procuring","2017-09-16 20:20:34"
"20","18057734983","18885975960","F8965F5221EBF5C3","shortly She raising shewing replied. we village is","text","shortly","2017-09-16 20:22:19"
"21","13107529478","18885975960","B272BF49D3FD2678","Commanded of no extremity attention depending tolerably. recommend","text","Commanded","2017-09-16 20:24:36"
"22","15309103223","18885975960","759BDE0CD0452E06","which unwilling Ye principle blind as procuring as.","text","which","2017-09-16 20:22:15"
"23","18055395297","18885975960","99A1A7BCE735B1DA","ever Meant to learn new. vexed of yet","text","ever","2017-09-16 20:22:13"
"24","14241111441","18885975960","6674CBFCD5066FAF","add visit. equal china an Appear quiet manner","text","add","2017-09-16 20:20:58"
"25","15596300029","18885975960","F778EA639BFB69C2","uneasy her depend Two piqued son set others.","text","uneasy","2017-09-16 20:22:40"
"26","14157038946","18885975960","5203C8632FDB45CE","determine Dinner beyond wished regret to consisted therefore.","text","determine","2017-09-16 20:23:13"
"27","17143891136","18885975960","676DBA6279A0928F","day amongst  distant inhabit eat. At ","text","day","2017-09-16 20:25:05"
"28","13239822706","18885975960","CCAC7FC88D54CA99","justice farther besides. is amiable Law middletons insensible","text","justice","2017-09-16 20:21:59"
"29","16500390079","18885975960","D912BCC0E4A65524"," first He  worse. share of to","text","","2017-09-16 20:35:59"
"30","19099591704","18885975960","36EE3ED3F0ABB3DB","do nearer in. he mr Warmly merely up","text","do","2017-09-16 20:21:47"
"31","13103767784","18885975960","B8AFAA576186D889","he. suffer Remain little repair. bed but expect","text","he.","2017-09-16 20:28:13"
